digital-root,ssa,340
digital-root,ref_ssa,340
up-arrow,baseline,252
up-arrow,ssa,469
up-arrow,ref_ssa,469
sum-divisors,baseline,159
sum-divisors,ssa,258
sum-divisors,ref_ssa,258
ackermann,baseline,1464231
ackermann,ssa,1722328
ackermann,ref_ssa,1722328
pythagorean_triple,baseline,61518
pythagorean_triple,ssa,108148
pythagorean_triple,ref_ssa,108148
euclid,baseline,563
euclid,ssa,878
euclid,ref_ssa,859
binary-fmt,baseline,100
binary-fmt,ssa,127
binary-fmt,ref_ssa,127
lcm,baseline,2326
lcm,ssa,3359
lcm,ref_ssa,3104
gcd,baseline,46
gcd,ssa,76
gcd,ref_ssa,76
catalan,baseline,659378
catalan,ssa,1003827
catalan,ref_ssa,1003827
armstrong,baseline,133
armstrong,ssa,189
armstrong,ref_ssa,189
pascals-row,baseline,146
pascals-row,ssa,278
pascals-row,ref_ssa,260
collatz,baseline,169
collatz,ssa,254
collatz,ref_ssa,254
sum-bits,baseline,73
sum-bits,ssa,101
sum-bits,ref_ssa,101
rectangles-area-difference,baseline,14
rectangles-area-difference,ssa,16
rectangles-area-difference,ref_ssa,16
mod_inv,baseline,558
mod_inv,ssa,1032
mod_inv,ref_ssa,1032
reverse,baseline,46
reverse,ssa,82
reverse,ref_ssa,82
fizz-buzz,baseline,3652
fizz-buzz,ssa,10261
fizz-buzz,ref_ssa,10261
bitwise-ops,baseline,1690
bitwise-ops,ssa,2404
bitwise-ops,ref_ssa,2404
cholesky,baseline,3761
cholesky,ssa,7482
cholesky,ref_ssa,7482
mat-inv,baseline,1044
mat-inv,ssa,1264
mat-inv,ref_ssa,1264
dead-branch,baseline,1196
dead-branch,ssa,2195
dead-branch,ref_ssa,2195
function_call,baseline,timeout
function_call,ssa,timeout
function_call,ref_ssa,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,ssa,142
ray-sphere-intersection,ref_ssa,142
conjugate-gradient,baseline,1999
conjugate-gradient,ssa,3811
conjugate-gradient,ref_ssa,3811
leibniz,baseline,timeout
leibniz,ssa,timeout
leibniz,ref_ssa,timeout
n_root,baseline,733
n_root,ssa,1201
n_root,ref_ssa,1201
newton,baseline,217
newton,ssa,269
newton,ref_ssa,269
euler,baseline,1908
euler,ssa,2310
euler,ref_ssa,2260
riemann,baseline,298
riemann,ssa,469
riemann,ref_ssa,469
mandelbrot,baseline,2720947
mandelbrot,ssa,2983943
mandelbrot,ref_ssa,2960627
norm,baseline,505
norm,ssa,829
norm,ref_ssa,829
cordic,baseline,517
cordic,ssa,3579
cordic,ref_ssa,3579
pow,baseline,36
pow,ssa,62
pow,ref_ssa,62
sqrt,baseline,322
sqrt,ssa,656
sqrt,ref_ssa,656
quickselect,baseline,279
quickselect,ssa,451
quickselect,ref_ssa,451
sieve,baseline,3482
sieve,ssa,5404
sieve,ref_ssa,5404
bubblesort,baseline,253
bubblesort,ssa,330
bubblesort,ref_ssa,330
primitive-root,baseline,11029
primitive-root,ssa,11888
primitive-root,ref_ssa,11888
adler32,baseline,6851
adler32,ssa,11862
adler32,ref_ssa,11862
adj2csr,baseline,56629
adj2csr,ssa,86132
adj2csr,ref_ssa,86132
csrmv,baseline,121202
csrmv,ssa,182358
csrmv,ref_ssa,182358
dot-product,baseline,88
dot-product,ssa,128
dot-product,ref_ssa,128
major-elm,baseline,47
major-elm,ssa,71
major-elm,ref_ssa,71
max-subarray,baseline,193
max-subarray,ssa,270
max-subarray,ref_ssa,270
mat-mul,baseline,1990407
mat-mul,ssa,3359295
mat-mul,ref_ssa,3359295
fib,baseline,121
fib,ssa,202
fib,ref_ssa,202
vsmul,baseline,86036
vsmul,ssa,102426
vsmul,ref_ssa,102426
quicksort-hoare,baseline,27333
quicksort-hoare,ssa,39202
quicksort-hoare,ref_ssa,39202
quicksort,baseline,264
quicksort,ssa,408
quicksort,ref_ssa,408
two-sum,baseline,98
two-sum,ssa,170
two-sum,ref_ssa,170
eight-queens,baseline,1006454
eight-queens,ssa,1827316
eight-queens,ref_ssa,1827316
binary-search,baseline,78
binary-search,ssa,78
binary-search,ref_ssa,78
